City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
273,saiha,22.4833,92.9667,21.86,99,100,1.3,IN,1693004386
274,cudillero,43.5622,-6.1459,17.59,98,75,3.09,ES,1693004386
275,anadyr,64.75,177.4833,9.28,75,40,2.68,RU,1693004386
276,polyarnyy,69.1989,33.4478,8.92,80,100,4.2,RU,1693004387
277,veracruz,19.3333,-96.6667,25.0,88,35,1.71,MX,1693004387
278,paita,-5.0892,-81.1144,20.88,80,4,7.54,PE,1693004387
279,rondonopolis,-16.4708,-54.6356,33.92,21,61,1.52,BR,1693004387
280,tindouf,27.6711,-8.1474,38.25,10,75,7.2,DZ,1693004387
281,zeya,53.75,127.2667,13.92,65,100,2.47,RU,1693004388
282,la passe,45.5549,-0.8967,17.77,74,1,3.37,FR,1693004388
283,periyanegamam,10.7333,77.1,24.28,91,79,5.6,IN,1693004388
284,kachug,53.9606,105.8817,12.38,81,55,1.07,RU,1693004388
285,lodja,-3.4833,23.4333,20.82,95,100,1.11,CD,1693004388
286,san luis,-33.295,-66.3356,7.66,74,18,5.04,AR,1693004388
287,kandyagash,49.4744,57.4233,15.87,53,99,3.47,KZ,1693004389
288,giyani,-23.3025,30.7187,21.06,40,21,1.02,ZA,1693004389
289,maluso,6.543,121.8753,24.05,78,87,1.54,PH,1693004389
290,mount isa,-20.7333,139.5,17.87,25,0,4.63,AU,1693004389
291,bolotnoye,55.6717,84.3981,10.7,96,96,3.8,RU,1693004389
292,constantia,44.1833,28.65,22.61,80,1,3.32,RO,1693004390
293,codrington,-38.2667,141.9667,10.01,71,90,3.2,AU,1693004390
294,bardai,11.65,7.2333,22.31,83,99,3.36,NG,1693004390
295,lamar,33.6668,-95.5836,40.99,30,58,3.26,US,1693004390
296,raja,8.4596,25.678,20.83,97,100,1.53,SS,1693004391
297,daru,-9.0763,143.2092,24.93,81,78,7.48,PG,1693004391
298,alaghsas,17.0187,8.0168,32.04,38,46,4.35,NE,1693004391
299,orsa,54.5153,30.4053,15.76,72,99,2.5,BY,1693004391
300,iskateley,67.6803,53.1512,5.75,82,100,5.81,RU,1693004391
301,aginskoye,51.1,114.53,14.57,53,6,0.66,RU,1693004391
302,turaif,31.6725,38.6637,27.14,36,0,4.12,SA,1693004392
303,linxia chengguanzhen,35.6003,103.2064,12.85,82,100,0.89,CN,1693004384
304,eyl,7.9803,49.8164,25.3,81,12,10.52,SO,1693004392
305,olyokminsk,60.3736,120.4264,14.03,57,12,0.82,RU,1693004392
306,la'ie,21.6477,-157.9253,29.14,67,9,2.68,US,1693004392
307,soe,-9.8607,124.284,18.82,67,30,1.85,ID,1693004392
308,noumea,-22.2763,166.4572,22.22,99,5,5.43,NC,1693004371
309,sarikamis,40.3381,42.5731,9.39,92,7,2.51,TR,1693004393
310,fort bragg,35.139,-79.006,33.84,60,36,1.34,US,1693004393
311,haiku-pauwela,20.9219,-156.3051,27.25,69,8,7.51,US,1693004393
312,mahebourg,-20.4081,57.7,23.47,78,40,5.66,MU,1693004393
313,pisco,-13.7,-76.2167,21.03,68,0,5.66,PE,1693004394
314,fort st. john,56.2499,-120.8529,25.94,34,0,4.63,CA,1693004394
315,wajir,1.7471,40.0573,24.99,59,26,8.32,KE,1693004394
316,taulaga,-11.0553,-171.0883,27.96,79,96,6.07,AS,1693004394
317,chavusy,53.8075,30.9712,14.96,81,99,2.95,BY,1693004395
318,el granada,37.5027,-122.4694,28.67,70,100,3.6,US,1693004395
319,havran,39.5583,27.0983,22.16,63,9,3.18,TR,1693004395
320,toliara,-23.35,43.6667,21.64,51,0,2.46,MG,1693004395
321,turtas,58.9417,69.1325,7.76,95,94,2.23,RU,1693004395
322,agadez,19.75,10.25,31.38,36,94,4.53,NE,1693004395
323,nevesinje,43.2586,18.1133,18.48,46,0,2.75,BA,1693004396
324,raduzhny,62.0961,77.475,9.65,78,95,2.69,RU,1693004396
325,hasaki,35.7333,140.8333,29.22,75,1,2.15,JP,1693004200
326,languyan,5.2618,120.0807,26.64,80,84,1.16,PH,1693004396
327,saudarkrokur,65.7461,-19.6394,16.07,56,100,6.9,IS,1693004396
328,parabel',58.6978,81.4825,7.04,93,14,3.29,RU,1693004396
329,dom pedro,-4.4833,-44.45,30.68,41,90,2.24,BR,1693004397
330,brisas de zicatela,15.8369,-97.0419,28.2,79,100,3.95,MX,1693004397
331,segre,47.6833,-0.8667,15.08,92,1,3.33,FR,1693004397
332,ladybrand,-29.1945,27.4574,4.57,59,0,2.28,ZA,1693004397
333,riachao do jacuipe,-11.8069,-39.3856,24.68,60,2,4.08,BR,1693004397
334,madang,-5.2246,145.7966,27.05,82,100,1.38,PG,1693004398
335,lower hutt,-41.2167,174.9167,12.69,81,75,5.14,NZ,1693004398
336,busselton,-33.65,115.3333,11.87,84,25,1.05,AU,1693004353
337,extrema,-22.8547,-46.3183,16.3,91,70,2.33,BR,1693004399
338,yatagan,37.3403,28.1428,20.51,50,46,0.47,TR,1693004399
339,villa de cos,23.2833,-102.35,26.34,29,78,5.92,MX,1693004399
340,alofi,-19.0595,-169.9187,27.94,83,98,4.12,NU,1693004399
341,igarka,67.4667,86.5833,8.86,97,100,6.47,RU,1693004399
342,port mathurin,-19.6833,63.4167,22.53,70,77,11.67,MU,1693004400
343,timbuktu,16.7735,-3.0074,37.29,26,44,5.71,ML,1693004400
344,ridgecrest,35.6225,-117.6709,37.23,10,0,1.79,US,1693004401
345,saint-paul,-21.0096,55.2707,22.05,85,49,0.45,RE,1693004402
346,crane,31.3974,-102.3501,36.08,21,3,7.02,US,1693004403
347,aras-asan,8.8908,126.3033,26.35,84,100,2.36,PH,1693004404
348,fort mcmurray,56.7268,-111.381,23.73,40,0,5.14,CA,1693004405
349,ewo,-0.8725,14.8206,23.81,84,84,1.75,CG,1693004405
350,geraldton,-28.7667,114.6,8.23,93,2,4.12,AU,1693004109
351,xacmaz,41.4635,48.806,21.42,75,99,3.79,AZ,1693004406
352,nouadhibou,20.931,-17.0347,23.8,83,98,6.57,MR,1693004406
353,shakhtinsk,49.71,72.5872,12.61,56,30,1.64,KZ,1693004407
354,manggar,-2.8833,108.2667,26.25,84,97,4.33,ID,1693004407
355,'ayn al 'arab,36.8932,38.3651,27.14,34,0,7.41,SY,1693004408
356,tayshet,55.9342,98.0044,12.62,91,0,1.68,RU,1693004408
357,fereydun kenar,36.6864,52.5225,27.3,73,7,8.46,IR,1693004410
358,nizhneudinsk,54.9076,99.0276,13.24,89,3,1.36,RU,1693004410
359,embi,48.8264,58.1442,17.23,51,93,3.39,KZ,1693004411
360,sitka,57.0531,-135.33,19.33,69,64,2.79,US,1693004411
361,papao,-17.75,-149.55,29.82,83,36,7.77,PF,1693004412
362,malonne,50.4383,4.7967,15.04,85,57,3.02,BE,1693004412
363,coruripe,-10.1256,-36.1756,22.76,84,12,4.74,BR,1693004413
